P1 P2 P3 P4 P5 P6 P7 P8
ENSG00000177551_LINE280_NHLH2_I 1.18505970469351 0.931253886001508 2.24612275402039 2.93156964216296 2.90231369693517 -0.456173849587605 -2.8652210843364 -5.40787042858831
ENSG00000178403_LINE282_NEUROG2_D_N2 -4.21177044071546 -0.340548862450202 1.62616078388 5.82533241528627 4.13236119401703 0.0467775371200766 -3.95595611961014 -5.2179497802552
ENSG00000178860_LINE283_MSC_D -2.37086616197765 -2.75948850345683 -1.06341652310443 1.39127319005253 3.10424824326617 2.36184012223644 0.310270592082706 -2.23773053675627
ENSG00000179111_LINE284_HES7_D -6.26813455523459 -3.71650160576992 -2.57186680885542 -2.47335528958056 -1.27140035847544 3.49390598540263 4.55765898195678 3.10586456014741
ENSG00000179774_LINE285_ATOH7_I -3.37787591547911 -2.87288143800352 -1.4267657284182 1.82271571706055 3.60185316918307 2.39023714105682 0.0136677032503012 -1.87038072791045
ENSG00000180535_LINE286_BHLHA15_D -4.5602922805905 -3.23861466864246 -1.34856638114008 2.46264933603856 4.55401150847004 2.06275228446169 -0.363284557694969 -2.26034485195892
ENSG00000180828_LINE287_BHLHE22_D -3.00340441437509 -1.62591080971353 -0.885106100512588 1.23356210460474 1.43435082243533 0.957484661303052 0.440509892736056 -0.461824569720144
ENSG00000181965_LINE288_NEUROG1_I -2.94200408603071 -1.46897123728309 -0.10790321995092 2.70398263885407 3.6232070212861 0.611468968521782 -1.53108505933141 -2.09304397798346
ENSG00000183733_LINE289_FIGLA_D -8.34718160357595 -6.97325929115136 -4.74823503426138 -4.13871153730065 3.61792047216516 8.2193408546764 6.00997874787339 3.02084595118686
ENSG00000183734_LINE290_ASCL2_I -1.66161540369842 -0.502494782634909 1.61473155379238 3.54317225427899 2.17656245513701 0.152674256146206 -1.12115515830877 -3.44070741440366
ENSG00000184221_LINE291_OLIG1_D -4.06976507002258 -0.979721742428978 -0.489724958739946 1.86799590633626 1.63406473981181 0.238947553924856 0.0398404402692357 -1.02395222134287
ENSG00000187098_LINE295_MITF_D -3.3573350637284 -2.32582956959873 0.914182676191556 2.05591567394194 -5.6409636041732 -1.64180567701508 2.92351618846409 2.49860268998432
ENSG00000187728_LINE296_ENSG00000187728_I -4.36854610739665 -4.1667881534487 0.0220307116236619 4.32177351885194 5.63464063455207 2.78672505039083 -1.84621569728652 -4.99843421713185
ENSG00000187786_LINE297_SCXB_I -1.19560148136043 -0.826223672109712 0.491923479552301 1.98844318104022 2.90607830711958 1.70797675892817 -1.05366633656778 -3.40437212268943
ENSG00000188095_LINE300_MESP2_I -13.0245536223149 -10.0209355521088 -5.08609277669747 -2.49517053042013 6.45377073093257 13.7362524698734 5.5042350149301 0.710868974806618
ENSG00000188290_LINE301_HES4_I 1.90616711922095 -2.41413200348725 -2.8956243120965 -3.34589120956836 -1.6725516199963 -1.3622668319172 3.2562312485893 3.02354812634256
ENSG00000188686_LINE302_SCXA_I -1.19560148136043 -0.826223672109712 0.491923479552301 1.98844318104022 2.90607830711958 1.70797675892817 -1.05366633656778 -3.40437212268943
ENSG00000196628_LINE303_TCF4_D_N3 -16.3520753220703 -11.5795759782582 -5.93490891952188 -3.32643332761234 6.28816653899614 14.8562536559103 7.88545857625012 1.96727702720815
ENSG00000197921_LINE306_HES5_D_N2 -6.67350006106792 -2.9872329606767 -1.8307187366168 -1.83587000406967 -0.962536464083997 2.87760543024379 3.95798504785154 2.78882472539636
ENSG00000198911_LINE308_SREBF2_D_N1 -6.2285328947161 -2.09102945528892 -0.0658105579528085 -0.220065063795763 -1.16445967152438 3.1085984059623 3.20486481907569 0.266820244594646
ENSG00000205927_LINE315_OLIG2_D_N2 -3.18086076608812 -0.916521713888635 0.477368200741507 3.60994788211632 1.75863181365642 -0.401797039494746 -1.16027100734806 -2.26575620737788
ENSG00000233608_LINE317_TWIST2_I -3.25897233418071 0.874808252511474 3.25309257021572 4.40270075030801 0.600748583444176 -1.45859908658859 -1.92931253335666 -2.86308003041454
ENSG00000250811_LINE320_ENSG00000250811_I 0.888830760872704 -0.413080919722826 -1.13565285301341 -1.78237944353366 -1.71060365974842 -1.06812449843243 1.69418931301929 2.55315403090461
